species,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points
Arabica,7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8
Arabica,8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8
Arabica,8,8,8,8.17,7.83,8,10,10,10,7.92
Arabica,8,8,7.92,8.08,7.83,8,10,10,10,8
Arabica,7.83,8.08,7.92,8.08,8,7.92,10,10,10,8
Arabica,7.83,8,8,8.17,7.83,8,10,10,10,8
Arabica,8,8,7.83,8.33,7.83,7.83,10,10,10,8
Arabica,7.83,8,7.83,8.17,7.92,8,10,10,10,8
Arabica,8,8,8,8.08,7.92,7.75,10,10,10,8
Arabica,8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92
Arabica,7.92,8.17,8,7.92,7.75,7.83,10,10,10,8
Arabica,7.83,8,8,7.75,7.92,8.17,10,10,10,7.92
Arabica,7.83,8,7.92,7.75,8.08,8,10,10,10,8
Arabica,8,7.75,7.83,7.83,7.67,8.58,10,10,10,7.83
Arabica,7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8
Arabica,7.83,8,7.83,7.92,7.83,8.08,10,10,10,8
Arabica,8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,8.08
Arabica,8,7.83,7.67,8.33,7.83,8,10,10,10,7.83
Arabica,7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,8.08
Arabica,8.08,8,7.83,7.67,8,7.83,10,10,10,8
Arabica,7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,8.25
Arabica,8,8,8,7.67,7.75,8,10,10,10,8
Arabica,8.08,7.83,7.83,8.08,7.83,7.83,10,10,10,7.92
Arabica,8,8,8,7.83,7.83,7.75,10,10,10,7.92
Arabica,7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83
Arabica,7.92,8.08,8,7.92,8,8.08,10,10,9.33,8
Arabica,8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92
Arabica,7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,7.92
Arabica,8,7.92,7.92,8.08,7.83,7.75,10,10,10,7.83
Arabica,7.83,7.83,7.92,8.08,7.75,7.83,10,10,10,8.08
Arabica,7.92,7.83,7.75,8.33,7.75,7.75,10,10,10,8
Arabica,8,7.92,7.75,8,7.92,7.83,10,10,10,7.83
Arabica,8.17,7.92,7.83,8,7.58,7.83,10,10,10,7.92
Arabica,7.58,8.08,7.92,7.83,8,7.92,10,10,10,7.92
Arabica,7.75,7.83,7.67,8,8.08,7.83,10,10,10,8
Arabica,8.25,8,7.67,7.92,7.75,7.67,10,10,10,7.92
Arabica,7.75,8,7.58,8,8,7.92,10,10,10,7.83
Arabica,8.17,7.83,7.58,8.08,8,7.75,10,10,10,7.67
Arabica,8.42,8,7.42,8,7.92,7.92,9.33,10,10,8.08
Arabica,7.58,7.83,7.83,7.92,7.83,8.17,10,10,10,7.92
Arabica,7.83,8,7.75,7.75,7.83,7.83,10,10,10,8.08
Arabica,8.08,8.17,7.92,8,8.08,8,9.33,9.33,10,8.17
Arabica,7.67,8,7.83,8,7.92,7.83,10,10,10,7.83
Arabica,7.5,7.92,8.25,7.83,7.92,7.75,10,10,10,7.92
Arabica,8.17,7.92,7.75,7.75,7.67,7.75,10,10,10,8
Arabica,8,7.92,7.75,7.92,7.75,7.83,10,10,10,7.83
Arabica,7.83,8,7.58,7.92,7.92,7.83,10,10,10,7.92
Arabica,7.83,8,7.83,7.75,7.67,7.83,10,10,10,8.08
Arabica,8.17,7.83,7.92,7.75,7.67,7.83,10,10,10,7.83
Arabica,7.75,7.83,7.75,8.08,8,7.75,10,10,10,7.83
Arabica,8,8,7.83,7.83,7.67,7.67,10,10,10,8
Arabica,7.92,8.17,7.75,8.08,7.42,7.83,10,10,10,7.83
Arabica,7.75,7.92,7.75,7.75,8,8,10,10,10,7.83
Arabica,7.83,8.08,7.67,8,7.75,7.67,10,10,10,8
Arabica,7.92,7.92,7.67,7.83,7.92,7.83,10,10,10,7.83
Arabica,7.92,7.83,7.75,7.83,7.75,8,10,10,10,7.83
Arabica,7.67,7.83,8,7.58,8,7.92,10,10,10,7.92
Arabica,8,7.83,7.83,7.92,7.75,7.75,10,10,10,7.83
Arabica,7.75,7.92,7.83,7.75,7.75,8,10,10,10,7.92
Arabica,7.75,8,7.75,7.83,7.5,7.92,10,10,10,8.17
Arabica,8,7.92,7.75,7.75,8,7.75,10,10,10,7.75
Arabica,8,8,7.75,8,7.5,7.75,10,10,10,7.92
Arabica,8,7.67,7.83,8.17,7.92,7.75,10,10,10,7.58
Arabica,7.92,7.58,7.83,7.83,7.83,7.83,10,10,10,8
Arabica,7.75,7.92,7.67,7.67,8.25,7.75,10,10,10,7.83
Arabica,7.67,7.75,7.75,7.75,7.83,8,10,10,10,8.08
Arabica,7.75,7.92,7.83,7.92,7.75,7.67,10,10,10,8
Arabica,7.42,7.92,7.92,8,7.83,7.83,10,10,10,7.92
Arabica,7.75,7.75,7.75,7.75,8,7.75,10,10,10,8
Arabica,7.92,7.83,7.58,7.92,7.75,7.83,10,10,10,7.92
Arabica,7.83,7.75,8,7.67,7.67,7.67,10,10,10,8.17
Arabica,7.75,8,8,8.33,7.67,7.92,10,10,9.33,7.75
Arabica,7.83,7.58,7.58,7.83,7.75,7.67,10,10,10,8.5
Arabica,7.83,7.83,7.5,8,7.83,7.67,10,10,10,8
Arabica,7.92,7.83,7.75,7.75,7.75,7.75,10,10,10,7.92
Arabica,7.75,7.75,7.75,7.42,8.08,7.83,10,10,10,8.08
Arabica,8.08,7.75,7.67,7.83,7.5,7.92,10,10,10,7.92
Arabica,7.75,7.83,7.58,8,7.92,7.75,10,10,10,7.83
Arabica,8.17,8,7.83,7.17,7.83,7.75,10,10,10,7.92
Arabica,8.08,7.83,7.75,7.83,7.58,7.67,10,10,10,7.92
Arabica,7.67,7.58,7.75,7.75,7.67,8.58,10,10,10,7.67
Arabica,8,7.58,7.83,7.75,7.75,7.75,10,10,10,8
Arabica,8.08,7.83,7.75,7.83,7.92,8,10,10,9.33,7.92
Arabica,8,7.92,7.75,7.75,7.75,7.75,10,10,10,7.75
Arabica,7.75,7.83,7.75,7.83,7.75,7.83,10,10,10,7.92
Arabica,7.75,7.92,7.83,8,7.58,7.75,10,10,10,7.83
Arabica,8,7.83,7.67,7.83,7.67,8,10,10,10,7.67
Arabica,7.67,7.83,7.67,8,7.67,7.83,10,10,10,8
Arabica,7.83,7.58,7.67,7.92,7.92,7.83,10,10,10,7.92
Arabica,7.92,7.83,7.75,7.92,7.67,7.75,10,10,10,7.83
Arabica,7.67,7.83,7.75,7.75,7.92,7.83,10,10,10,7.92
Arabica,7.42,7.75,7.75,8,8,7.92,10,10,10,7.83
Arabica,7.92,7.75,7.83,7.75,7.58,7.92,10,10,10,7.83
Arabica,7.83,7.67,7.58,7.92,7.67,7.83,10,10,10,8.08
Arabica,7.92,7.83,7.58,8,7.83,7.67,10,10,10,7.75
Arabica,7.83,7.83,7.83,7.75,7.58,7.83,10,10,10,7.92
Arabica,7.75,7.83,7.67,7.92,7.75,7.83,10,10,10,7.83
Arabica,8,7.92,7.67,7.58,7.58,7.67,10,10,10,8.17
Arabica,7.67,7.67,7.58,7.75,7.58,8.5,10,10,10,7.83
Arabica,7.75,7.75,7.83,7.75,7.58,8,10,10,10,7.92
Arabica,7.75,7.75,7.75,8.08,7.75,7.75,10,10,10,7.75
Arabica,7.67,7.83,7.83,8,7.58,7.92,10,10,10,7.75
Arabica,7.75,7.83,7.75,8,7.83,7.67,10,10,10,7.75
Arabica,7.42,7.67,7.75,7.75,8.08,7.83,10,10,10,8.08
Arabica,8,8,7.75,7.75,7.58,7.75,10,10,10,7.75
Arabica,8.5,8,7.5,7.75,7.5,7.83,10,10,10,7.5
Arabica,7.92,7.67,7.92,7.75,7.67,7.58,10,10,10,8
Arabica,7.92,7.75,7.67,7.75,7.83,7.75,10,10,10,7.83
Arabica,7.75,7.92,7.67,7.83,7.75,7.67,10,10,10,7.92
Arabica,7.92,7.83,7.83,7.83,7.58,7.58,10,10,10,7.92
Arabica,8.08,7.67,7.83,7.83,7.67,7.67,10,10,10,7.75
Arabica,7.67,8,7.75,7.83,7.75,7.58,10,10,10,7.92
Arabica,8.17,7.83,7.67,7.83,7.67,7.83,10,10,10,7.5
Arabica,7.92,7.83,7.67,8,7.67,7.75,10,10,10,7.67
Arabica,8,7.92,7.42,8.08,7.5,7.67,10,10,10,7.92
Arabica,7.92,7.83,7.75,7.75,7.75,7.83,10,10,10,7.67
Arabica,7.67,8,7.67,8,7.5,7.83,10,10,10,7.83
Arabica,7.81,7.81,7.88,7.75,7.38,8.25,9.5,10,10,8.13
Arabica,8.17,7.67,7.75,7.75,7.67,7.75,10,10,10,7.75
Arabica,7.58,7.83,7.83,8,7.67,7.58,10,10,10,7.92
Arabica,7.67,7.67,7.83,7.58,7.83,7.83,10,10,10,8
Arabica,7.92,7.83,7.75,7.67,7.92,7.67,10,10,10,7.67
Arabica,7.92,7.75,7.67,7.92,7.67,7.75,10,10,10,7.75
Arabica,7.83,7.83,7.75,8,7.5,7.75,10,10,10,7.75
Arabica,7.92,7.92,7.5,7.83,7.5,7.92,10,10,10,7.83
Arabica,7.75,7.92,7.75,7.67,7.83,7.67,10,10,10,7.83
Arabica,7.5,7.75,7.83,7.92,7.92,7.75,10,10,10,7.75
Arabica,7.33,7.58,7.83,7.75,7.75,7.92,10,10,10,8.17
Arabica,7.92,8,7.75,7.67,7.67,7.75,10,10,10,7.58
Arabica,7.58,7.75,7.5,7.83,7.67,8.5,10,10,10,7.5
Arabica,7.58,7.92,7.58,7.75,7.92,7.75,10,10,10,7.83
Arabica,7.67,7.67,7.75,7.83,7.75,7.83,10,10,10,7.83
Arabica,7.75,7.67,8,7.67,8.08,7.83,10,10,10,7.33
Arabica,7.75,7.58,7.33,7.83,7.58,8.08,10,10,10,8.17
Arabica,8,7.75,7.75,7.83,7.5,7.67,10,10,10,7.83
Arabica,8.17,8,7.5,7.75,7.5,7.67,10,10,10,7.75
Arabica,8,8,7.5,7.5,7.67,7.75,10,10,10,7.92
Arabica,7.75,7.75,7.92,7.75,7.5,7.92,10,10,10,7.75
Arabica,7.5,7.67,7.75,7.67,7.92,7.92,10,10,10,7.92
Arabica,7.92,7.75,7.75,7.67,7.67,7.83,10,10,10,7.67
Arabica,7.83,7.75,7.75,7.42,7.83,7.67,10,10,10,8
Arabica,7.83,7.58,7.75,7.58,7.67,8,10,10,10,7.83
Arabica,7.75,7.75,7.58,7.92,7.75,7.75,10,10,10,7.75
Arabica,7.75,7.92,7.5,8.08,7.58,7.67,10,10,10,7.75
Arabica,7.83,7.83,7.58,7.75,7.75,7.75,10,10,10,7.75
Arabica,7.67,7.67,7.75,7.75,7.67,7.92,10,10,10,7.83
Arabica,7.83,7.67,7.75,7.58,7.92,7.75,10,10,10,7.75
Arabica,7.83,7.75,7.83,7.58,7.67,7.75,10,10,10,7.83
Arabica,7.42,7.67,7.83,7.75,7.92,7.83,10,10,10,7.83
Arabica,7.83,7.67,7.75,7.83,7.67,7.67,10,10,10,7.83
Arabica,7.83,7.75,7.75,7.75,7.67,7.75,10,10,10,7.75
Arabica,7.83,7.83,7.5,7.92,7.58,7.75,10,10,10,7.83
Arabica,7.58,7.5,7.75,7.83,7.92,7.83,10,10,10,7.83
Arabica,7.33,7.92,7.92,7.92,7.92,8.08,10,10,9.33,7.83
Arabica,7.83,7.92,7.67,7.83,7.5,7.75,10,10,10,7.75
Arabica,7.83,7.83,7.75,7.67,7.83,7.58,10,10,10,7.75
Arabica,7.83,7.92,7.67,7.75,7.5,7.75,10,10,10,7.83
Arabica,8.17,7.75,7.58,7.67,7.83,7.58,10,10,10,7.67
Arabica,7.75,7.83,7.58,7.83,7.67,7.75,10,10,10,7.75
Arabica,7.83,7.75,7.58,7.67,7.75,7.83,10,10,10,7.75
Arabica,7.92,7.75,7.67,7.67,7.5,7.67,10,10,10,8
Arabica,7.75,7.75,7.58,8,7.67,7.83,10,10,10,7.58
Arabica,7.75,7.92,7.58,7.92,7.67,7.67,10,10,10,7.67
Arabica,7.58,7.83,7.58,7.83,7.83,7.67,10,10,10,7.83
Arabica,8,7.5,7.5,7.67,8,7.83,10,10,10,7.67
Arabica,7.67,7.83,7.83,7.5,7.67,7.83,10,10,10,7.83
Arabica,7.67,7.75,7.75,7.67,7.83,7.75,10,10,10,7.75
Arabica,7.67,7.75,7.67,7.75,7.5,8,10,10,10,7.83
Arabica,7.5,7.92,7.58,7.83,7.75,7.83,10,10,10,7.75
Arabica,7.92,7.75,7.75,7.75,7.75,7.58,10,10,10,7.67
Arabica,7.67,7.5,7.67,7.42,7.83,8.58,10,10,10,7.5
Arabica,7.67,7.75,7.67,7.75,7.75,7.75,10,10,10,7.83
Arabica,7.58,7.75,7.75,7.75,7.75,7.83,10,10,10,7.75
Arabica,7.58,7.83,7.75,7.67,7.67,8,10,10,10,7.67
Arabica,7.92,7.75,7.67,7.67,7.83,7.92,10,10,10,7.42
Arabica,8.42,8.08,7.5,7.17,7.58,8.17,9.33,10,10,7.92
Arabica,7.75,7.75,7.75,7.75,7.83,7.75,10,10,10,7.58
Arabica,7.83,7.5,7.5,8,7.83,7.83,10,10,10,7.67
Arabica,7.83,7.75,7.5,7.83,7.83,7.75,10,10,10,7.67
Arabica,7.81,7.88,7.56,7.75,7.63,7.75,10,10,10,7.75
Arabica,7.83,7.5,7.42,7.5,7.83,8.5,10,10,10,7.5
Arabica,7.58,7.67,7.67,7.67,7.75,7.83,10,10,10,7.92
Arabica,8,7.75,7.5,7.58,7.92,7.67,10,10,10,7.67
Arabica,7.92,7.75,7.67,7.75,7.67,7.67,10,10,10,7.67
Arabica,7.58,7.75,7.67,8,7.75,7.67,10,10,10,7.67
Arabica,7.83,7.75,7.83,7.83,7.42,8.08,9.33,10,10,8
Arabica,7.67,7.75,7.67,7.75,7.67,7.75,10,10,10,7.83
Arabica,7.92,7.92,7.83,8,7.92,7.92,10,10,8.67,7.92
Arabica,7.58,7.75,7.67,7.75,7.83,7.75,10,10,10,7.67
Arabica,7.83,7.75,7.67,7.75,7.33,7.75,10,10,10,7.92
Arabica,7.42,7.83,7.75,7.92,7.75,7.58,10,10,10,7.75
Arabica,7.67,7.83,7.58,7.92,7.75,7.67,10,10,10,7.58
Arabica,7.67,7.67,7.83,7.58,7.58,7.83,10,10,10,7.83
Arabica,7.92,7.67,7.42,7.92,7.75,7.83,10,10,10,7.5
Arabica,7.75,7.83,7.5,7.83,7.58,7.67,10,10,10,7.83
Arabica,7.67,7.75,7.67,7.67,7.67,7.75,10,10,10,7.83
Arabica,7.58,7.42,7.75,7.92,7.75,7.92,10,10,10,7.67
Arabica,7.67,7.67,7.5,7.5,7.67,7.67,10,10,10,8.33
Arabica,7.75,7.75,7.5,7.58,7.67,7.92,10,10,10,7.83
Arabica,7.58,7.83,7.67,7.25,8,7.75,10,10,10,7.92
Arabica,7.67,7.83,7.67,7.75,7.67,7.75,10,10,10,7.67
Arabica,7.67,7.83,7.5,7.75,7.92,7.67,10,10,10,7.67
Arabica,7.92,8.17,8.17,8.42,8.08,8.17,8.67,8.67,9.33,8.42
Arabica,7.67,7.75,7.67,7.75,7.83,7.67,10,10,10,7.67
Arabica,7.92,7.75,7.58,7.67,7.67,7.83,10,10,10,7.58
Arabica,7.58,7.75,7.58,7.75,7.58,7.75,10,10,10,8
Arabica,7.5,7.75,7.58,7.5,7.58,7.5,10,10,10,8.5
Arabica,7.83,7.83,7.58,7.92,7.42,7.5,10,10,10,7.83
Arabica,7.67,7.75,7.5,7.67,7.67,7.83,10,10,10,7.83
Arabica,7.58,7.67,7.67,7.75,7.58,7.83,10,10,10,7.83
Arabica,7.83,7.75,7.83,7.75,7.83,7.75,9.33,10,10,7.83
Arabica,7.75,7.67,7.5,7.75,7.83,7.75,10,10,10,7.67
Arabica,7.75,7.58,7.5,7.83,7.75,7.92,10,10,10,7.58
Arabica,7.75,7.75,7.58,7.75,7.75,7.67,10,10,10,7.67
Arabica,7.92,7.67,7.5,7.83,7.58,7.67,10,10,10,7.75
Arabica,7.83,7.75,7.58,7.58,7.75,7.75,10,10,10,7.67
Arabica,7.75,7.58,7.67,7.83,7.83,7.67,10,10,10,7.58
Arabica,8,7.92,7.92,7.92,7.67,7.33,10,10,10,7.17
Arabica,7.67,7.83,7.67,7.75,7.67,7.83,10,10,10,7.5
Arabica,7.67,7.75,7.58,7.67,7.75,7.83,10,10,10,7.67
Arabica,7.5,7.67,7.58,7.83,7.75,7.75,10,10,10,7.83
Arabica,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10,10,7.75
Arabica,7.92,7.58,7.5,7.83,7.58,7.67,10,10,10,7.75
Arabica,7.83,7.67,7.5,7.75,7.75,7.75,10,10,10,7.58
Arabica,7.67,7.67,7.75,7.67,7.5,7.75,10,10,10,7.83
Arabica,7.75,7.75,7.5,7.75,7.83,7.58,10,10,10,7.67
Arabica,7.75,7.67,7.5,7.75,7.75,7.67,10,10,10,7.75
Arabica,7.25,7.58,7.42,8,7.75,7.83,10,10,10,8
Arabica,7.67,7.75,7.67,7.75,7.42,7.75,10,10,10,7.83
Arabica,7.75,7.75,7.67,7.67,7.58,7.67,10,10,10,7.75
Arabica,7.67,7.67,7.58,7.5,7.83,8.17,10,10,9.33,8.08
Arabica,7.83,7.42,7.5,7.83,7.75,7.83,10,10,10,7.67
Arabica,7.58,7.83,7.33,8,7.58,7.75,10,10,10,7.75
Arabica,7.92,7.5,7.33,7.67,8.17,7.5,10,10,10,7.75
Arabica,7.5,7.67,7.58,7.75,7.83,7.83,10,10,10,7.67
Arabica,7.67,7.58,7.58,7.83,7.58,7.67,10,10,10,7.92
Arabica,7.5,7.83,7.5,7.83,7.83,7.67,10,10,10,7.67
Arabica,7.67,8,7.67,7.42,7.67,7.5,10,10,10,7.92
Arabica,7.67,7.58,7.5,7.75,7.75,7.75,10,10,10,7.83
Arabica,7.83,7.83,7.58,7.67,7.5,7.58,10,10,10,7.83
Arabica,7.75,7.75,7.58,8,7.67,7.58,10,10,10,7.5
Arabica,7.5,7.83,7.58,7.58,7.75,7.83,10,10,10,7.75
Arabica,7.58,7.83,7.58,8,7.83,7.5,10,10,10,7.5
Arabica,7.75,7.58,7.5,7.58,7.75,7.75,10,10,10,7.83
Arabica,7.67,7.67,7.58,7.75,7.67,7.67,10,10,10,7.75
Arabica,7.83,7.83,7.58,7.58,7.58,7.58,10,10,10,7.75
Arabica,7.67,7.67,7.58,7.58,7.67,7.83,10,10,10,7.75
Arabica,7.92,7.75,7.5,7.67,7.75,7.5,10,10,10,7.67
Arabica,7.83,7.75,7.67,7.5,7.58,7.67,10,10,10,7.75
Arabica,7.75,7.67,7.5,7.67,7.58,7.83,10,10,10,7.75
Arabica,8,7.92,7.58,7.75,7.33,7.5,10,10,10,7.67
Arabica,7.83,7.83,7.83,7.67,8,8.17,9.33,9.33,10,7.75
Arabica,7.67,7.67,7.67,7.92,7.5,7.67,10,10,10,7.67
Arabica,7.67,7.42,7.42,7.42,8,8.33,10,10,10,7.5
Arabica,7.58,7.67,7.75,7.67,7.67,7.67,10,10,10,7.75
Arabica,7.75,7.67,7.75,7.58,7.42,8,10,10,10,7.58
Arabica,7.25,7.42,7.67,7.58,7.83,8.25,10,10,10,7.75
Arabica,7.83,7.58,7.58,7.5,7.75,7.67,10,10,10,7.83
Arabica,7.67,7.58,7.58,7.67,7.75,7.75,10,10,10,7.75
Arabica,7.83,7.83,7.58,7.33,7.42,7.67,10,10,10,8.08
Arabica,7.75,7.67,7.25,7.25,7.58,8.5,10,10,10,7.75
Arabica,7.83,7.67,7.75,7.67,7.58,7.5,10,10,10,7.75
Arabica,7.67,7.83,7.5,7.67,7.67,7.5,10,10,10,7.83
Arabica,8.08,7.67,7.67,7.58,7.25,7.67,10,10,10,7.75
Arabica,7.5,7.5,7.67,7.67,8,8,10,10,10,7.33
Arabica,7.67,7.75,7.67,7.67,7.83,7.58,10,10,10,7.5
Arabica,7.58,7.75,7.58,7.75,7.58,7.58,10,10,10,7.83
Arabica,7.5,7.67,7.33,7.92,7.83,7.67,10,10,10,7.75
Arabica,7.33,7.67,7.67,7.5,7.67,7.5,10,10,10,8.33
Arabica,7.5,7.75,7.58,7.83,7.67,7.58,10,10,10,7.75
Arabica,7.5,7.75,7.5,7.75,7.67,7.67,10,10,10,7.83
Arabica,8,7.5,7.33,8,8,8,9.33,10,10,7.5
Arabica,7.83,7.75,7.67,7.58,7.58,7.67,10,10,10,7.58
Arabica,7.67,7.67,7.67,7.67,7.33,7.75,10,10,10,7.92
Arabica,7.67,7.67,7.42,7.67,8,7.75,10,10,10,7.5
Arabica,7.83,7.67,7.33,7.67,7.67,7.83,10,10,10,7.67
Arabica,7.75,7.75,7.58,7.83,7.17,7.75,10,10,10,7.83
Arabica,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,8
Arabica,7.67,8.17,7.5,7.42,7.58,7.83,10,10,10,7.5
Arabica,7.67,7.5,7.5,7.33,7.83,8.25,10,10,10,7.58
Arabica,8.17,7.67,7.58,7.58,7.42,7.67,10,10,10,7.58
Arabica,7.67,7.5,7.33,8,7.67,7.67,10,10,10,7.83
Arabica,7.75,8,7.92,8.08,7.75,8,9.33,9.33,9.33,8.17
Arabica,7.58,7.67,7.58,7.58,7.67,7.58,10,10,10,7.92
Arabica,7.75,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58
Arabica,7.75,7.75,7.58,7.58,7.67,7.58,10,10,10,7.67
Arabica,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75
Arabica,7.67,7.75,7.58,7.67,7.75,7.58,10,10,10,7.58
Arabica,7.75,7.75,7.58,7.58,7.5,7.67,10,10,10,7.75
Arabica,7.75,7.67,7.58,7.67,7.5,7.67,10,10,10,7.75
Arabica,7.67,7.67,7.42,7.75,7.75,7.67,10,10,10,7.67
Arabica,7.67,7.58,7.67,7.67,7.67,7.67,10,10,10,7.67
Arabica,7.67,7.58,7.67,7.58,7.67,7.75,10,10,10,7.67
Arabica,7.75,7.58,7.5,7.58,7.75,7.83,10,10,10,7.58
Arabica,7.75,7.75,7.75,7.75,7.5,7.58,10,10,10,7.5
Arabica,7.67,7.67,7.58,7.67,7.75,7.58,10,10,10,7.67
Arabica,7.83,7.67,7.58,7.58,7.67,7.58,10,10,10,7.67
Arabica,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75
Arabica,7.83,7.75,7.5,7.75,7.5,7.58,10,10,10,7.67
Arabica,7.75,7.58,7.58,7.75,7.75,7.5,10,10,10,7.58
Arabica,7.58,7.58,7.17,7.17,7,7,10,10,10,10
Arabica,7.92,7.42,7.5,7.67,7.5,7.67,10,10,10,7.83
Arabica,7.75,7.58,7.58,7.5,7.75,7.75,10,10,10,7.58
Arabica,7.67,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58
Arabica,7.58,7.58,7.58,7.58,7.75,7.67,10,10,10,7.75
Arabica,7.75,7.67,7.58,7.67,7.67,7.58,10,10,10,7.58
Arabica,7.25,7.67,7.58,7.92,7.83,7.58,10,10,10,7.67
Arabica,7.67,7.75,7.5,7.58,7.75,7.67,10,10,10,7.58
Arabica,7.67,7.42,7.67,7.83,7.58,7.67,10,10,10,7.67
Arabica,8,7.58,7.25,7.58,7.92,7.58,10,10,10,7.58
Arabica,7.58,7.75,7.5,7.83,7.42,7.67,10,10,10,7.75
Arabica,7.75,7.58,7.33,7.5,7.83,7.83,10,10,10,7.67
Arabica,7.67,7.5,7.67,7.5,7.67,7.67,10,10,10,7.83
Arabica,7.58,7.75,7.42,7.67,7.75,7.67,10,10,10,7.67
Arabica,7.58,7.67,7.58,7.75,7.58,7.75,10,10,10,7.58
